CompanyName,Website,LinkedIn,Sub Industry,Country,Employees
Design Plus,http://www.design-plus.com/,http://www.linkedin.com/company/design-plus,Furniture,United States,390
Design Within Reach,http://www.dwr.com/,http://www.linkedin.com/company/design-within-reach,Furniture,United States,880
DFS,http://www.dfs.co.uk/,http://www.linkedin.com/company/dfsfurniture,Furniture,United Kingdom,3‚-000
Domayne,http://www.domayneonline.com.au/,http://www.linkedin.com/company/domayne,Furniture,Australia,270
Dondi Salotti,http://www.dondisalotti.com/,http://www.linkedin.com/company/dondi-salotti,Furniture,Italy,240
Downtown,http://www.downtownstores.co.uk/,http://www.linkedin.com/company/oldrids,Furniture,United Kingdom,450
Dreams,http://www.dreams.co.uk/,http://www.linkedin.com/company/dreams,Furniture,United Kingdom,2‚-300
Dunelm,http://www.dunelm.com/,http://www.linkedin.com/company/dunelm-soft-furnishings-ltd,Furniture,United Kingdom,12‚-000
Early Settler,http://www.earlysettler.com.au/,http://www.linkedin.com/company/earlysettler,Furniture,Australia,300
Ebanista,http://www.ebanista.com/,http://www.linkedin.com/company/ebanista-inc.,Furniture,United States,230
Eijerkamp Retail Groep,http://www.eijerkamp.nl/,http://www.linkedin.com/company/eijerkamp-retail-groep,Furniture,Netherlands,350
Ekornes,http://www.ekornes.com/,http://www.linkedin.com/company/ekornes,Furniture,Norway,2‚-800
El Dorado Furniture,http://www.eldoradofurniture.com/,http://www.linkedin.com/company/el-dorado-furniture,Furniture,United States,420
Ellos Group,http://www.ellosgroup.com/,http://www.linkedin.com/company/ellos-group,HoldCo,Sweden,510
Elte,http://www.elte.com/,http://www.linkedin.com/company/elte,Furniture,Canada,430
Emma ‚Äì the Sleep Company,http://www.emma-sleep.com/,http://www.linkedin.com/company/lifeatemma,Furniture,Germany,1‚-300
Enterijer Jankoviƒá,http://www.enterijer-jankovic.co.rs/,http://www.linkedin.com/company/enterijer-jankovi%c4%87,Furniture,Serbia,700
EQ3,http://www.eq3.com/,http://www.linkedin.com/company/eq3,Furniture,Canada,320
Ersa Furniture,http://www.ersafurniture.us/,http://www.linkedin.com/company/ersa-furnitureus,Furniture,United States,270
eSolutions Furniture,http://www.esolutionsfurniture.com/,http://www.linkedin.com/company/esolutions-furniture-group,Furniture,Canada,650
Ethan Allen Global Inc.,http://www.ethanallen.com/,http://www.linkedin.com/company/ethan-allen,Furniture,United States,3‚-300
Ez Living Furniture,http://www.ezlivingfurniture.ie/,http://www.linkedin.com/company/ez-living-furniture,Furniture,Ireland,250
"Fabryki Mebli ""Forte""‚Äã S.A.",http://www.forte.com.pl/,http://www.linkedin.com/company/meble-forte,Furniture,Poland,2‚-200
Famsa Inc.,http://www.famsafurniture.com/,http://www.linkedin.com/company/famsa-inc.,Furniture,United States,250
Fantastic Furniture,http://www.fantasticfurniture.com.au/,http://www.linkedin.com/company/fantastic-furniture,Furniture,Australia,600
Farmers Home Furniture,http://www.farmershomefurniture.com/,http://www.linkedin.com/company/farmers-home-furniture,Furniture,United States,1‚-300
Fbd Group,http://www.fbd-group.com/,http://www.linkedin.com/company/fbd-group,HoldCo,France,1‚-500
Fermob,http://www.fermob.com/,http://www.linkedin.com/company/fermob,Furniture,France,260
Flokk,http://www.flokk.com/,http://www.linkedin.com/company/flokkdesign,Furniture,Norway,
Forma Ideale doo,http://www.formaideale.rs/,http://www.linkedin.com/company/forma-ideale-doo,Furniture,Serbia,1‚-900
Forty Winks,http://www.fortywinks.com.au/,http://www.linkedin.com/company/forty-winks,Furniture,Australia,320
Four Hands,http://www.fourhands.com/,http://www.linkedin.com/company/four-hands,Furniture,United States,690
Fournier Groupe,http://www.fourniergroupe.com/,http://www.linkedin.com/company/fournier-groupe,HoldCo,France,"1,000-5,000"
Frame,http://www.frame-store.com/,http://www.linkedin.com/company/frame-denim,Furniture,United States,610
Franklin Corporation,http://www.franklincorp.com/,http://www.linkedin.com/company/franklincorporation,Furniture,United States,940
Frasers Group,http://www.frasers.group/,http://www.linkedin.com/company/frasers-group,HoldCo,United Kingdom,32‚-000
Freedom Australia,http://www.freedom.com.au/,http://www.linkedin.com/company/freedom-australia,Furniture,Australia,500
Friedhelm Schaffrath GmbH & Co. KG,http://www.schaffrath.com/,http://www.linkedin.com/company/friedhelm-schaffrath-gmbh-&-co-kg,Furniture,Germany,1‚-700
Frontgate,https://www.frontgate.com/,https://www.linkedin.com/company/frontgate,Furniture,United States,"501√¢¬Ä¬î1,000"
Frontgate ,https://www.frontgate.com/,https://www.linkedin.com/company/frontgate/,Furniture,United States,"500-1,000"
Furniture Fair,http://www.furniturefair.net/,http://www.linkedin.com/company/oki-furniture-fair,Furniture,United States,380
Furniture Mart USA,http://www.furnituremartusa.com/,http://www.linkedin.com/company/furnituremartusa,Furniture,United States,1‚-400
Furniture Maxi,http://www.furnituremaxi.com/,http://www.linkedin.com/company/furniture-maxi,Furniture,United Kingdom,500
Furniture Row,https://furniturerow.com/,https://www.linkedin.com/company/furniture-row-companies,Furniture,United States,"1,001√¢¬Ä¬î5,000"
Furniture Row Companies,http://www.linkedin.com/company/furniture-row-companies,https://facebook.com/furniturerow,Furniture,United States,2‚-800
Furniture Village,http://www.furniturevillage.co.uk/,http://www.linkedin.com/company/furniture-village,Furniture,United Kingdom,"1,000-5,000"
"Furnitureland South, Inc",http://www.furniturelandsouth.com/,http://www.linkedin.com/company/furnitureland-south-inc,Furniture,United States,540
G Plan,https://www.gplan.co.uk/,https://www.linkedin.com/company/g-plan-upholstery-limited,Furniture,United Kingdom,"501√¢¬Ä¬î1,000"
Gallery Furniture,http://www.galleryfurniture.com/,http://www.linkedin.com/company/gallery-furniture,Furniture,United States,260
Ganet Hill ,https://www.garnethill.com/bedding-home/all-home,https://www.linkedin.com/company/garnet-hill/,Furniture,United States,200-500
Giessegi,http://www.giessegi.it/,http://www.linkedin.com/company/giessegi,Furniture,Italy,610
Global Furniture Group,http://www.globalfurnituregroup.com/,http://www.linkedin.com/company/global-furniture-group,Furniture,United States,1‚-200
Goossens,http://www.werkenbijgoossens.nl/,http://www.linkedin.com/company/goossens,Furniture,Netherlands,600
Groupement Mousquetaires,http://www.linkedin.com/company/les-mousquetaires,https://facebook.com/devenezmousquetaires,HoldCo,France,150‚-000
Gruppo Saviola,https://www.grupposaviola.com/en/,http://www.linkedin.com/company/gruppo-saviola,HoldCo,Italy,"1,000-5,000"
h√¥ma,http://www.homa.pt/,http://www.linkedin.com/company/h%c3%b4ma,Furniture,Portugal,280
Habitat,http://www.habitat.co.uk/,http://www.linkedin.com/company/habitat_2,Furniture,United Kingdom,930
Hammonds Furniture,http://www.hammonds-uk.com/,http://www.linkedin.com/company/hammonds-furniture-ltd,Furniture,United Kingdom,520
Havertys Furniture,http://www.havertys.com/,http://www.linkedin.com/company/havertys-furniture,Furniture,United States,2‚-400
Haworth,http://www.haworth.com/,http://www.linkedin.com/company/haworthinc,Furniture,United States,8‚-000
Haynes Furniture Company,http://www.haynesfurniture.com/,http://www.linkedin.com/company/haynes-furniture-company,Furniture,United States,290
Heal's,http://www.heals.com/,http://www.linkedin.com/company/heals,Furniture,United Kingdom,250
Heilig-Meyers Furniture,https://www.heilig-meyers.com/,https://www.linkedin.com/company/heilig-meyers-furniture,Furniture,United States,"1,001√¢¬Ä¬î5,000"
Heritage Home Group LLC,https://www.homeheritage.com/fr/,http://www.linkedin.com/company/furniture-brands-international,HoldCo,United States,"1,000-5,000"
Herman Miller,http://www.hermanmiller.com/,http://www.linkedin.com/company/herman-miller,Furniture,United States,7‚-600
Hickory Chair,https://www.hickorychair.com/,https://www.linkedin.com/company/hickory-chair-co/,Furniture,United States,200-500
Hickory Chair Co,http://www.hickorychair.com/,http://www.linkedin.com/company/hickory-chair-co,Furniture,United States,230
Hilding Anders International AB,http://www.hildinganders.com/,http://www.linkedin.com/company/hilding-anders-international-ab,HoldCo,Sweden,10‚-000
Hjort Knudsen A/S,http://www.hjortknudsen.dk/,http://www.linkedin.com/company/hjort-knudsen,Furniture,Denmark,2‚-600
HollyHunt,https://www.hollyhunt.com/,https://www.linkedin.com/company/holly-hunt/,Furniture,United States,200-500
Holmris B8,http://www.holmrisb8.com/,http://www.linkedin.com/company/holmrisb8,Furniture,Denmark,300
HOM Furniture,http://www.homfurniture.com/,http://www.linkedin.com/company/hom-furniture,Furniture,United States,1‚-900
Home Consignment Center,http://www.thehomeconsignmentcenter.com/,http://www.linkedin.com/company/home-consignment-center,Furniture,United States,220
Home Furniture Plus Bedding,http://www.homefurn.com/,http://www.linkedin.com/company/home-furniture-plus-bedding,Furniture,United States,280
Homefashion Group B.V.,http://www.homefashiongroup.com/,http://www.linkedin.com/company/homefashion-group-b-v-,HoldCo,Netherlands,"1,000-5,000"
"Homemakers Furniture, Mattresses & Accessories",http://www.homemakers.com/,http://www.linkedin.com/company/homemakers-furniture-iowa,Furniture,United States,340
Hooker Furnishings Corporation,http://www.hookerfurnishings.com/,http://www.linkedin.com/company/hooker-furnishings-corporation,HoldCo,United States,"1,000-5,000"
Hypnos Beds,http://www.hypnosbeds.com/,http://www.linkedin.com/company/hypnos-beds,Furniture,United Kingdom,260
Ikano Group,http://www.group.ikano/,http://www.linkedin.com/company/ikano-group,HoldCo,Luxembourg,8‚-000
ILVA,http://www.ilva.dk/,http://www.linkedin.com/company/ilva-dk,Furniture,Denmark,900
Indoor Group Oy,http://www.indoorgroup.fi/,http://www.linkedin.com/company/indoor-group-oy,HoldCo,Finland,"500-1,000"
Interstuhl,http://www.interstuhl.com/,http://www.linkedin.com/company/interstuhl,Furniture,Germany,1‚-100
Ivan Smith Furniture,http://www.ivansmith.com/,http://www.linkedin.com/company/ivan-smith-furniture,Furniture,United States,570
Janus et Cie,http://www.janusetcie.com/,http://www.linkedin.com/company/janus-et-cie,Furniture,United States,340
Jbi Interiors,http://www.jbi-interiors.com/,http://www.linkedin.com/company/jbi-interiors,Furniture,United States,220
Johnny Janosik Inc.,http://www.johnnyjanosik.com/,http://www.linkedin.com/company/johnny-janosik-inc-,Furniture,United States,280
